Regional,DDD,ValorTEF,ValorBonus,Validade
NORTE,90,10,0,30
NORTE,90,13,0,30
NORTE,90,15,0,30
NORTE,90,20,2,60
NORTE,90,30,4,90
NORTE,90,35,5,90
NORTE,90,40,6,90
NORTE,90,50,8,120
NORTE,90,100,18,180
NORTE,91,10,0,30
NORTE,91,13,0,30
NORTE,91,15,0,30
NORTE,91,20,2,60
NORTE,91,30,4,90
NORTE,91,35,5,90
NORTE,91,40,6,90
NORTE,91,50,8,120
NORTE,91,100,18,180
NORTE,92,10,0,30
NORTE,92,13,0,30
NORTE,92,15,0,30
NORTE,92,20,2,60
NORTE,92,30,4,90
NORTE,92,35,5,90
NORTE,92,40,6,90
NORTE,92,50,8,120
NORTE,92,100,18,180
NORTE,93,10,0,30
NORTE,93,13,0,30
NORTE,93,15,0,30
NORTE,93,20,2,60
NORTE,93,30,4,90
NORTE,93,35,5,90
NORTE,93,40,6,90
NORTE,93,50,8,120
NORTE,93,100,18,180
NORTE,94,10,0,30
NORTE,94,13,0,30
NORTE,94,15,0,30
NORTE,94,20,2,60
NORTE,94,30,4,90
NORTE,94,35,5,90
NORTE,94,40,6,90
NORTE,94,50,8,120
NORTE,94,100,18,180
NORTE,95,10,0,30
NORTE,95,13,0,30
NORTE,95,15,0,30
NORTE,95,20,2,60
NORTE,95,30,4,90
NORTE,95,35,5,90
NORTE,95,40,6,90
NORTE,95,50,8,120
NORTE,95,100,18,180
NORTE,96,10,0,30
NORTE,96,13,0,30
NORTE,96,15,0,30
NORTE,96,20,2,60
NORTE,96,30,4,90
NORTE,96,35,5,90
NORTE,96,40,6,90
NORTE,96,50,8,120
NORTE,96,100,18,180
NORTE,97,10,0,30
NORTE,97,13,0,30
NORTE,97,15,0,30
NORTE,97,20,2,60
NORTE,97,30,4,90
NORTE,97,35,5,90
NORTE,97,40,6,90
NORTE,97,50,8,120
NORTE,97,100,18,180
NORTE,98,10,0,30
NORTE,98,13,0,30
NORTE,98,15,0,30
NORTE,98,20,2,60
NORTE,98,30,4,90
NORTE,98,35,5,90
NORTE,98,40,6,90
NORTE,98,50,8,120
NORTE,98,100,18,180
NORTE,99,10,0,30
NORTE,99,13,0,30
NORTE,99,15,0,30
NORTE,99,20,2,60
NORTE,99,30,4,90
NORTE,99,35,5,90
NORTE,99,40,6,90
NORTE,99,50,8,120
NORTE,99,100,18,180
